Name: Belsize Drive, Instruction: Head east on Belsize Drive, Distance: 146.4 meters, Time: 105.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 196.0 meters, Time: 141.1 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 207.1 meters, Time: 149.1 seconds
Name: -, Instruction: Keep left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight left, Distance: 891.6 meters, Time: 642.0 seconds
Name: -, Instruction: Keep left, Distance: 477.0 meters, Time: 343.4 seconds
Name: -, Instruction: Keep left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Wellness Way, Instruction: Turn right onto Wellness Way, Distance: 37.0 meters, Time: 26.7 seconds
Name: Wellness Way, Instruction: Keep left onto Wellness Way, Distance: 96.5 meters, Time: 69.5 seconds
Name: Wellness Way, Instruction: Continue straight onto Wellness Way, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 129.1 meters, Time: 93.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
