Name: Hertford Road, Instruction: Head south on Hertford Road, Distance: 159.4 meters, Time: 114.8 seconds
Name: Englefield Road, Instruction: Turn left onto Englefield Road, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 167.8 meters, Time: 120.8 seconds
Name: St Peter's Way, Instruction: Turn left onto St Peter's Way, Distance: 192.2 meters, Time: 138.4 seconds
Name: Middleton Road, Instruction: Keep left onto Middleton Road, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 8.4 meters, Time: 6.1 seconds
Name: Middleton Road, Instruction: Turn slight left onto Middleton Road, Distance: 700.0 meters, Time: 504.0 seconds
Name: Middleton Road, Instruction: Continue straight onto Middleton Road, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Middleton Road, Instruction: Continue straight onto Middleton Road, Distance: 30.8 meters, Time: 22.2 seconds
Name: Lansdowne Drive, Instruction: Turn right onto Lansdowne Drive, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
