Name: Yishun Street 22, Instruction: Head southeast on Yishun Street 22, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 258.7 meters, Time: 186.3 seconds
Name: -, Instruction: Turn slight right, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Yishun Industrial Street 1, Instruction: Turn left onto Yishun Industrial Street 1, Distance: 123.5 meters, Time: 88.9 seconds
Name: Yishun Industrial Street 1, Instruction: Keep right onto Yishun Industrial Street 1, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: Yishun Industrial Street 1, Instruction: Turn right onto Yishun Industrial Street 1, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 59.9 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 115.5 meters, Time: 83.2 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.5 seconds
Name: Yishun Avenue 8, Instruction: Turn right onto Yishun Avenue 8, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at Yishun Avenue 8, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
