Name: Teck Lim Road, Instruction: Head northwest on Teck Lim Road, Distance: 82.5 meters, Time: 59.4 seconds
Name: Keong Saik Road, Instruction: Turn right onto Keong Saik Road, Distance: 62.6 meters, Time: 45.1 seconds
Name: Keong Saik Road, Instruction: Keep left onto Keong Saik Road, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Pearl's Hill Terrace, Instruction: Turn left onto Pearl's Hill Terrace, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 112.3 meters, Time: 80.8 seconds
Name: Pearl Bank, Instruction: Turn sharp left onto Pearl Bank, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Keep left, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Turn right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 243.1 meters, Time: 175.0 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Keep right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: Outram Road, Instruction: Turn right onto Outram Road, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.4 seconds
Name: Outram Road, Instruction: Turn right onto Outram Road, Distance: 131.3 meters, Time: 94.5 seconds
Name: Zion Road, Instruction: Keep left onto Zion Road, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Keep right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Continue straight, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Continue straight, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
