Name: Roseman Avenue, Instruction: Head north on Roseman Avenue, Distance: 149.0 meters, Time: 107.3 seconds
Name: Christie Street, Instruction: Turn left onto Christie Street, Distance: 107.7 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 270.7 meters, Time: 194.9 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 385.9 meters, Time: 277.9 seconds
Name: Memorial Avenue, Instruction: Turn right onto Memorial Avenue, Distance: 284.3 meters, Time: 204.7 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep right, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 125.5 meters, Time: 90.4 seconds
Name: -, Instruction: Turn right, Distance: 531.3 meters, Time: 382.6 seconds
Name: -, Instruction: Continue straight, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
