Name: Marlee Avenue, Instruction: Head north on Marlee Avenue, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 140.2 meters, Time: 100.9 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn slight right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Glengrove Avenue, Instruction: Turn left onto Glengrove Avenue, Distance: 88.4 meters, Time: 63.7 seconds
Name: Lois Avenue, Instruction: Turn right onto Lois Avenue, Distance: 254.5 meters, Time: 183.2 seconds
Name: Wenderly Drive, Instruction: Turn left onto Wenderly Drive, Distance: 403.4 meters, Time: 290.5 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.9 seconds
Name: Dufferin Street, Instruction: Turn sharp left onto Dufferin Street, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Arrive at Dufferin Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
