Name: Seaforth Avenue, Instruction: Head east on Seaforth Avenue, Distance: 266.4 meters, Time: 191.8 seconds
Name: Brock Avenue, Instruction: Turn left onto Brock Avenue, Distance: 209.0 meters, Time: 150.5 seconds
Name: Florence Street, Instruction: Turn right onto Florence Street, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 150.2 meters, Time: 108.2 seconds
Name: -, Instruction: Keep right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: Stonehouse Crescent, Instruction: Turn right onto Stonehouse Crescent, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
