Name: Calle Hermenegildo Galeana, Instruction: Head east on Calle Hermenegildo Galeana, Distance: 41.3 meters, Time: 29.8 seconds
Name: Calle Ciclamen, Instruction: Turn right onto Calle Ciclamen, Distance: 162.5 meters, Time: 117.0 seconds
Name: Calle Gardenia, Instruction: Turn right onto Calle Gardenia, Distance: 304.5 meters, Time: 219.3 seconds
Name: Calle Madreselva, Instruction: Turn left onto Calle Madreselva, Distance: 166.3 meters, Time: 119.7 seconds
Name: Calle Madreselva, Instruction: Keep left onto Calle Madreselva, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Keep right, Distance: 244.5 meters, Time: 176.0 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 315.1 meters, Time: 226.9 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: Calle Cuauhtémoc, Instruction: Turn right onto Calle Cuauhtémoc, Distance: 25.1 meters, Time: 18.0 seconds
Name: Calle Cuauhtémoc, Instruction: Turn slight left onto Calle Cuauhtémoc, Distance: 201.9 meters, Time: 145.4 seconds
Name: Calle José María Morelos, Instruction: Turn left onto Calle José María Morelos, Distance: 63.4 meters, Time: 45.6 seconds
Name: Calle Ignacio Allende, Instruction: Turn right onto Calle Ignacio Allende, Distance: 81.3 meters, Time: 58.6 seconds
Name: Calle Cuauhtémoc, Instruction: Turn left onto Calle Cuauhtémoc, Distance: 45.5 meters, Time: 32.7 seconds
Name: Carretera a Santa Cecilia, Instruction: Turn right onto Carretera a Santa Cecilia, Distance: 304.1 meters, Time: 218.9 seconds
Name: Camino a San Andrés, Instruction: Keep right onto Camino a San Andrés, Distance: 342.0 meters, Time: 246.3 seconds
Name: Camino a San Andrés, Instruction: Turn right onto Camino a San Andrés, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Arrive at Camino a San Andrés, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
