Name: さいとう坂, Instruction: Head southwest on さいとう坂, Distance: 169.5 meters, Time: 122.0 seconds
Name: 大塚三業通り, Instruction: Turn left onto 大塚三業通り, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 168.4 meters, Time: 121.3 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn slight left, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Continue straight, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 498.0 meters, Time: 358.5 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 160.6 meters, Time: 115.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
