Name: شارع علي امين, Instruction: Head east on شارع علي امين, Distance: 249.9 meters, Time: 179.9 seconds
Name: شارع الحسن بن على, Instruction: Turn sharp right onto شارع الحسن بن على, Distance: 121.5 meters, Time: 87.5 seconds
Name: شارع حنين بن إسحاق, Instruction: Turn left onto شارع حنين بن إسحاق, Distance: 296.3 meters, Time: 213.4 seconds
Name: شارع محمد فتح الله السليطي, Instruction: Enter the roundabout and take the 2nd exit onto شارع محمد فتح الله السليطي, Distance: 78.3 meters, Time: 56.4 seconds
Name: شارع الدكتور محمود ابراهيم, Instruction: Turn left onto شارع الدكتور محمود ابراهيم, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.9 meters, Time: 12.2 seconds
Name: شارع الدكتور محمود ابراهيم, Instruction: Turn left onto شارع الدكتور محمود ابراهيم, Distance: 248.5 meters, Time: 178.9 seconds
Name: -, Instruction: Turn right, Distance: 189.5 meters, Time: 136.4 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Keep left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Keep left, Distance: 103.7 meters, Time: 74.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
