Name: Passage de Flandre, Instruction: Head northwest on Passage de Flandre, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Turn right, Distance: 70.8 meters, Time: 50.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Keep left, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 13.9 seconds
Name: Allées Jacques Brel, Instruction: Turn right onto Allées Jacques Brel, Distance: 130.6 meters, Time: 94.1 seconds
Name: -, Instruction: Continue straight, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
