Name: شارع ابن السراج, Instruction: Head northwest on شارع ابن السراج, Distance: 29.8 meters, Time: 21.5 seconds
Name: شارع 53, Instruction: Turn right onto شارع 53, Distance: 172.0 meters, Time: 123.8 seconds
Name: شارع 53, Instruction: Keep right onto شارع 53, Distance: 47.6 meters, Time: 34.2 seconds
Name: محور 82, Instruction: Turn right onto محور 82, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: محور 82, Instruction: Turn left onto محور 82, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 29.7 meters, Time: 21.4 seconds
Name: شارع ابو حامد محمد, Instruction: Turn right onto شارع ابو حامد محمد, Distance: 9.6 meters, Time: 6.9 seconds
Name: شارع ابراهيم سليمان, Instruction: Turn left onto شارع ابراهيم سليمان, Distance: 329.4 meters, Time: 237.2 seconds
Name: شارع ابو حامد محمد, Instruction: Turn sharp left onto شارع ابو حامد محمد, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn slight right, Distance: 12.6 meters, Time: 9.0 seconds
Name: شارع الخليفه المنتصر, Instruction: Turn left onto شارع الخليفه المنتصر, Distance: 65.6 meters, Time: 47.2 seconds
Name: شارع سليمان بن حرب, Instruction: Turn right onto شارع سليمان بن حرب, Distance: 15.0 meters, Time: 10.8 seconds
Name: شارع الخليفه المنتصر, Instruction: Turn left onto شارع الخليفه المنتصر, Distance: 93.5 meters, Time: 67.4 seconds
Name: شارع الشويفات, Instruction: Turn right onto شارع الشويفات, Distance: 503.3 meters, Time: 362.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Continue straight, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: شارع التسعين الجنوبي الجانبى, Instruction: Turn right onto شارع التسعين الجنوبي الجانبى, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 59.1 meters, Time: 42.6 seconds
Name: شارع 90, Instruction: Turn sharp right onto شارع 90, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: شارع 90, Instruction: Turn left onto شارع 90, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 125.8 meters, Time: 90.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
