Name: Evergreen Avenue, Instruction: Head north on Evergreen Avenue, Distance: 214.4 meters, Time: 154.3 seconds
Name: -, Instruction: Continue straight, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 338.9 meters, Time: 244.0 seconds
Name: -, Instruction: Continue straight, Distance: 59.5 meters, Time: 42.9 seconds
Name: Bedok South Road, Instruction: Turn right onto Bedok South Road, Distance: 129.3 meters, Time: 93.1 seconds
Name: Bedok South Avenue 2, Instruction: Turn left onto Bedok South Avenue 2, Distance: 108.0 meters, Time: 77.8 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: Bedok South Avenue 2, Instruction: Turn left onto Bedok South Avenue 2, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 346.1 meters, Time: 249.2 seconds
Name: -, Instruction: Turn left, Distance: 255.6 meters, Time: 184.1 seconds
Name: New Upper Changi Road, Instruction: Turn right onto New Upper Changi Road, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 140.3 meters, Time: 101.0 seconds
Name: -, Instruction: Keep right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 136.7 meters, Time: 98.4 seconds
Name: -, Instruction: Turn slight left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
