Name: Schillerstraße, Instruction: Head northwest on Schillerstraße, Distance: 408.6 meters, Time: 294.2 seconds
Name: Goethestraße, Instruction: Turn left onto Goethestraße, Distance: 292.4 meters, Time: 210.5 seconds
Name: Hermann-Löns-Straße, Instruction: Turn slight right onto Hermann-Löns-Straße, Distance: 55.7 meters, Time: 40.1 seconds
Name: Ricarda-Huch-Weg, Instruction: Turn left onto Ricarda-Huch-Weg, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 449.3 meters, Time: 323.5 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 553.5 meters, Time: 398.5 seconds
Name: -, Instruction: Turn right, Distance: 0.1 meters, Time: 0.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
