Name: Abbott Avenue, Instruction: Head east on Abbott Avenue, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 99.9 meters, Time: 71.9 seconds
Name: Glenlake Avenue, Instruction: Turn right onto Glenlake Avenue, Distance: 35.4 meters, Time: 25.5 seconds
Name: Prince Rupert Avenue, Instruction: Turn left onto Prince Rupert Avenue, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Turn right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Chelsea Avenue, Instruction: Turn right onto Chelsea Avenue, Distance: 9.0 meters, Time: 6.4 seconds
Name: Chelsea Avenue, Instruction: Keep left onto Chelsea Avenue, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
