Name: St John's Road, Instruction: Head east on St John's Road, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 204.6 meters, Time: 147.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Keep left, Distance: 197.0 meters, Time: 141.9 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: Ryding Avenue, Instruction: Turn right onto Ryding Avenue, Distance: 439.1 meters, Time: 316.2 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Cobalt Avenue, Instruction: Turn left onto Cobalt Avenue, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 295.7 meters, Time: 212.9 seconds
Name: -, Instruction: Turn right, Distance: 138.2 meters, Time: 99.5 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
