Name: Calle el Mirador, Instruction: Head northwest on Calle el Mirador, Distance: 49.6 meters, Time: 35.7 seconds
Name: Calle Loma de la Luna, Instruction: Turn sharp left onto Calle Loma de la Luna, Distance: 177.0 meters, Time: 127.4 seconds
Name: Avenida Brecha Cerro del Chiquihuite, Instruction: Turn slight left onto Avenida Brecha Cerro del Chiquihuite, Distance: 7.2 meters, Time: 5.2 seconds
Name: Avenida Brecha Cerro del Chiquihuite, Instruction: Continue straight onto Avenida Brecha Cerro del Chiquihuite, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: Camino Real, Instruction: Turn left onto Camino Real, Distance: 379.6 meters, Time: 273.3 seconds
Name: Calle Encinos, Instruction: Turn left onto Calle Encinos, Distance: 325.3 meters, Time: 234.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
