Name: Rue Boinod, Instruction: Head southwest on Rue Boinod, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 135.2 meters, Time: 97.4 seconds
Name: -, Instruction: Turn slight left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 36.9 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue de Clignancourt, Instruction: Turn left onto Rue de Clignancourt, Distance: 370.6 meters, Time: 266.8 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 201.5 meters, Time: 145.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue de Clignancourt, Instruction: Turn left onto Rue de Clignancourt, Distance: 324.1 meters, Time: 233.4 seconds
Name: Boulevard Marguerite de Rochechouart, Instruction: Continue straight onto Boulevard Marguerite de Rochechouart, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 24.9 seconds
Name: Boulevard Marguerite de Rochechouart, Instruction: Turn left onto Boulevard Marguerite de Rochechouart, Distance: 16.6 meters, Time: 12.0 seconds
Name: Rue Gérando, Instruction: Turn right onto Rue Gérando, Distance: 204.2 meters, Time: 147.0 seconds
Name: Rue d'Anvers, Instruction: Turn left onto Rue d'Anvers, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Keep left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
