Name: شارع 12, Instruction: Head south on شارع 12, Distance: 264.2 meters, Time: 190.2 seconds
Name: -, Instruction: Turn left, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 151.6 meters, Time: 109.1 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 86.9 meters, Time: 62.5 seconds
Name: شارع 11, Instruction: Turn right onto شارع 11, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: شارع 11, Instruction: Turn right onto شارع 11, Distance: 105.0 meters, Time: 75.6 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn slight left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
