Name: Lawren Harris Square, Instruction: Head north on Lawren Harris Square, Distance: 34.8 meters, Time: 25.0 seconds
Name: Lower River Street, Instruction: Turn slight left onto Lower River Street, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn right, Distance: 260.6 meters, Time: 187.7 seconds
Name: East Don Roadway, Instruction: Turn left onto East Don Roadway, Distance: 285.3 meters, Time: 205.4 seconds
Name: Carroll Street, Instruction: Turn left onto Carroll Street, Distance: 73.7 meters, Time: 53.0 seconds
Name: Doris Anderson Court, Instruction: Turn right onto Doris Anderson Court, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 131.1 meters, Time: 94.4 seconds
Name: -, Instruction: Turn slight right, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 173.4 meters, Time: 124.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Munro Street, Instruction: Turn left onto Munro Street, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn right, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn left, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Bridgepoint Drive, Instruction: Turn right onto Bridgepoint Drive, Distance: 10.1 meters, Time: 7.3 seconds
Name: Broadview Avenue, Instruction: Turn left onto Broadview Avenue, Distance: 13.0 meters, Time: 9.4 seconds
Name: Victor Avenue, Instruction: Turn right onto Victor Avenue, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight left, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Keep left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight right, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Keep left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn left, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Keep left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
