Name: Lewaldstraße, Instruction: Head east on Lewaldstraße, Distance: 308.5 meters, Time: 222.1 seconds
Name: Franz-Nißl-Straße, Instruction: Turn right onto Franz-Nißl-Straße, Distance: 120.4 meters, Time: 86.7 seconds
Name: Hintermeierstraße, Instruction: Turn left onto Hintermeierstraße, Distance: 153.5 meters, Time: 110.5 seconds
Name: Hintermeierstraße, Instruction: Continue straight onto Hintermeierstraße, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 161.5 meters, Time: 116.3 seconds
Name: -, Instruction: Continue straight, Distance: 38.9 meters, Time: 28.0 seconds
Name: Karl-Gayer-Straße, Instruction: Turn slight left onto Karl-Gayer-Straße, Distance: 265.4 meters, Time: 191.1 seconds
Name: Pringsheimstraße, Instruction: Turn left onto Pringsheimstraße, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Arrive at Pringsheimstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
