Name: Amy Lane, Instruction: Head northeast on Amy Lane, Distance: 95.4 meters, Time: 68.7 seconds
Name: MacDonald Street, Instruction: Turn right onto MacDonald Street, Distance: 10.2 meters, Time: 7.4 seconds
Name: Parkers Lane, Instruction: Turn left onto Parkers Lane, Distance: 133.6 meters, Time: 96.2 seconds
Name: Victoria Street, Instruction: Turn right onto Victoria Street, Distance: 24.5 meters, Time: 17.6 seconds
Name: Prospect Street, Instruction: Turn left onto Prospect Street, Distance: 292.1 meters, Time: 210.3 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: John Street, Instruction: Turn slight left onto John Street, Distance: 180.5 meters, Time: 130.0 seconds
Name: Albert Street, Instruction: Turn right onto Albert Street, Distance: 120.9 meters, Time: 87.0 seconds
Name: Burren Street, Instruction: Turn slight left onto Burren Street, Distance: 216.2 meters, Time: 155.7 seconds
Name: Wilson Street, Instruction: Turn left onto Wilson Street, Distance: 9.3 meters, Time: 6.7 seconds
Name: Brocks Lane, Instruction: Turn right onto Brocks Lane, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 52.3 meters, Time: 37.7 seconds
Name: Fitzroy Street, Instruction: Turn left onto Fitzroy Street, Distance: 154.0 meters, Time: 110.9 seconds
Name: -, Instruction: Turn right, Distance: 112.3 meters, Time: 80.8 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 162.2 meters, Time: 116.7 seconds
Name: -, Instruction: Turn right, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
