Name: Rue Boinod, Instruction: Head southwest on Rue Boinod, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Keep left, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Keep left, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 168.2 meters, Time: 121.1 seconds
Name: -, Instruction: Turn right, Distance: 402.1 meters, Time: 289.5 seconds
Name: -, Instruction: Turn right, Distance: 441.8 meters, Time: 318.1 seconds
Name: -, Instruction: Turn slight left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn slight left, Distance: 17.0 meters, Time: 12.2 seconds
Name: Rue de Valenciennes, Instruction: Turn left onto Rue de Valenciennes, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Arrive at Rue de Valenciennes, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
