Name: Clairlea Crossing, Instruction: Head northeast on Clairlea Crossing, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Keep right, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: Fairfax Crescent, Instruction: Turn right onto Fairfax Crescent, Distance: 305.1 meters, Time: 219.6 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 590.9 meters, Time: 425.4 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 278.6 meters, Time: 200.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
