Name: Rupert Gardens, Instruction: Head east on Rupert Gardens, Distance: 12.5 meters, Time: 9.0 seconds
Name: Minet Road, Instruction: Turn right onto Minet Road, Distance: 13.3 meters, Time: 9.6 seconds
Name: Gordon Grove, Instruction: Turn left onto Gordon Grove, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 94.4 meters, Time: 68.0 seconds
Name: -, Instruction: Keep right, Distance: 104.4 meters, Time: 75.1 seconds
Name: Lilford Road, Instruction: Turn right onto Lilford Road, Distance: 84.3 meters, Time: 60.7 seconds
Name: Carew Street, Instruction: Turn left onto Carew Street, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 235.5 meters, Time: 169.6 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: Carew Street, Instruction: Turn right onto Carew Street, Distance: 9.2 meters, Time: 6.6 seconds
Name: Denmark Road, Instruction: Turn right onto Denmark Road, Distance: 30.6 meters, Time: 22.1 seconds
Name: Warner Road, Instruction: Turn left onto Warner Road, Distance: 423.0 meters, Time: 304.5 seconds
Name: -, Instruction: Turn right, Distance: 82.0 meters, Time: 59.1 seconds
Name: -, Instruction: Turn slight left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 138.7 meters, Time: 99.8 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 556.4 meters, Time: 400.6 seconds
Name: Havil Street, Instruction: Turn left onto Havil Street, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 85.5 meters, Time: 61.5 seconds
Name: Service Road 2, Instruction: Turn left onto Service Road 2, Distance: 59.2 meters, Time: 42.6 seconds
Name: Sedgmoor Place, Instruction: Continue straight onto Sedgmoor Place, Distance: 183.3 meters, Time: 132.0 seconds
Name: Stanswood Gardens, Instruction: Turn right onto Stanswood Gardens, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Arrive at Stanswood Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
