Name: Timmer Road, Instruction: Head south on Timmer Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Golden Pond Road, Instruction: Turn left onto Golden Pond Road, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 162.0 meters, Time: 116.6 seconds
Name: Horsefields Drive, Instruction: Turn left onto Horsefields Drive, Distance: 160.1 meters, Time: 115.3 seconds
Name: Murphys Shared Path, Instruction: Turn right onto Murphys Shared Path, Distance: 150.3 meters, Time: 108.2 seconds
Name: Murphys Shared Path, Instruction: Turn left onto Murphys Shared Path, Distance: 26.7 meters, Time: 19.3 seconds
Name: Murphys Shared Path, Instruction: Turn right onto Murphys Shared Path, Distance: 10.7 meters, Time: 7.7 seconds
Name: Kerrykeel Drive, Instruction: Turn left onto Kerrykeel Drive, Distance: 423.7 meters, Time: 305.1 seconds
Name: Kerrykeel Drive, Instruction: Keep right onto Kerrykeel Drive, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Turn left, Distance: 199.0 meters, Time: 143.3 seconds
Name: Ara Kahikatea, Instruction: Turn right onto Ara Kahikatea, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Arrive at Ara Kahikatea, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
