Name: East Lowry Boulevard, Instruction: Head southwest on East Lowry Boulevard, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn slight right, Distance: 272.2 meters, Time: 196.0 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn slight right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 156.3 meters, Time: 112.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
