Name: Red Gum Drive, Instruction: Head west on Red Gum Drive, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 92.0 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Meredith Avenue, Instruction: Turn left onto Meredith Avenue, Distance: 177.9 meters, Time: 128.1 seconds
Name: Wiseman Circuit, Instruction: Turn left onto Wiseman Circuit, Distance: 30.5 meters, Time: 21.9 seconds
Name: Hendon Street, Instruction: Turn right onto Hendon Street, Distance: 133.9 meters, Time: 96.4 seconds
Name: Taradale Drive, Instruction: Turn left onto Taradale Drive, Distance: 40.8 meters, Time: 29.4 seconds
Name: Finsbury Circuit, Instruction: Turn right onto Finsbury Circuit, Distance: 77.1 meters, Time: 55.5 seconds
Name: Daylesford Close, Instruction: Turn left onto Daylesford Close, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
