Name: Weißenfelderstraße, Instruction: Head south on Weißenfelderstraße, Distance: 5.2 meters, Time: 3.7 seconds
Name: Altmannstraße, Instruction: Turn left onto Altmannstraße, Distance: 258.0 meters, Time: 185.8 seconds
Name: Westendstraße, Instruction: Turn left onto Westendstraße, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 46.7 meters, Time: 33.6 seconds
Name: Altdorferstraße, Instruction: Turn right onto Altdorferstraße, Distance: 92.3 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 51.9 meters, Time: 37.4 seconds
Name: Siegenburger Straße, Instruction: Turn right onto Siegenburger Straße, Distance: 1127.2 meters, Time: 811.6 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
