Name: Wemyss Street, Instruction: Head west on Wemyss Street, Distance: 71.0 meters, Time: 51.1 seconds
Name: Kings Road, Instruction: Turn left onto Kings Road, Distance: 1258.4 meters, Time: 906.0 seconds
Name: Van Riebeeck Street, Instruction: Turn left onto Van Riebeeck Street, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 227.4 meters, Time: 163.7 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn slight left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn slight left, Distance: 337.8 meters, Time: 243.2 seconds
Name: -, Instruction: Keep left, Distance: 89.3 meters, Time: 64.3 seconds
Name: Gold Street, Instruction: Turn right onto Gold Street, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Continue straight, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
