Name: Calle Xotepingo, Instruction: Head southwest on Calle Xotepingo, Distance: 40.4 meters, Time: 29.1 seconds
Name: Calle Nochebuena, Instruction: Turn sharp right onto Calle Nochebuena, Distance: 111.6 meters, Time: 80.3 seconds
Name: Avenida Jacarandas, Instruction: Turn left onto Avenida Jacarandas, Distance: 302.8 meters, Time: 218.0 seconds
Name: -, Instruction: Turn right, Distance: 64.2 meters, Time: 46.2 seconds
Name: Avenida Jacarandas, Instruction: Turn left onto Avenida Jacarandas, Distance: 17.9 meters, Time: 12.9 seconds
Name: Calle Clavellinas, Instruction: Turn right onto Calle Clavellinas, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.0 seconds
Name: -, Instruction: Turn slight left, Distance: 31.7 meters, Time: 22.9 seconds
Name: Avenida Pacífico, Instruction: Turn slight right onto Avenida Pacífico, Distance: 9.8 meters, Time: 7.0 seconds
Name: Calle Emiliano Zapata, Instruction: Turn left onto Calle Emiliano Zapata, Distance: 347.0 meters, Time: 249.8 seconds
Name: Calle Santa Cruz, Instruction: Turn right onto Calle Santa Cruz, Distance: 572.1 meters, Time: 411.9 seconds
Name: Andador Huayamilpas, Instruction: Turn right onto Andador Huayamilpas, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 153.4 meters, Time: 110.5 seconds
Name: -, Instruction: Turn left, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn right, Distance: 324.8 meters, Time: 233.8 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 154.4 meters, Time: 111.2 seconds
Name: Calle Chontales, Instruction: Turn right onto Calle Chontales, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Arrive at Calle Chontales, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
