Name: Woodycrest Avenue, Instruction: Head south on Woodycrest Avenue, Distance: 7.0 meters, Time: 5.0 seconds
Name: Sammon Avenue, Instruction: Turn left onto Sammon Avenue, Distance: 436.9 meters, Time: 314.5 seconds
Name: Marlow Avenue, Instruction: Turn right onto Marlow Avenue, Distance: 246.2 meters, Time: 177.2 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Keep right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Milverton Boulevard, Instruction: Turn left onto Milverton Boulevard, Distance: 7.1 meters, Time: 5.1 seconds
Name: Caithness Avenue, Instruction: Turn right onto Caithness Avenue, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Glebeholme Boulevard, Instruction: Turn left onto Glebeholme Boulevard, Distance: 643.0 meters, Time: 463.0 seconds
Name: -, Instruction: Arrive at Glebeholme Boulevard, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
