Name: Quai de Valmy, Instruction: Head southwest on Quai de Valmy, Distance: 397.1 meters, Time: 285.9 seconds
Name: Rue Lucien Sampaix, Instruction: Keep right onto Rue Lucien Sampaix, Distance: 500.4 meters, Time: 360.3 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue du Château d'Eau, Instruction: Turn right onto Rue du Château d'Eau, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 141.2 meters, Time: 101.7 seconds
Name: Cité Riverin, Instruction: Turn sharp left onto Cité Riverin, Distance: 60.8 meters, Time: 43.8 seconds
Name: Rue René Boulanger, Instruction: Turn right onto Rue René Boulanger, Distance: 134.8 meters, Time: 97.1 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 109.7 meters, Time: 79.0 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Keep left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn slight left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: Rue de Palestro, Instruction: Turn left onto Rue de Palestro, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Arrive at Rue de Palestro, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
