Name: Kingsway Close, Instruction: Head southwest on Kingsway Close, Distance: 206.9 meters, Time: 149.0 seconds
Name: -, Instruction: Turn left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Continue straight, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: Hyde Road, Instruction: Turn sharp left onto Hyde Road, Distance: 257.5 meters, Time: 185.4 seconds
Name: Myrtle Road, Instruction: Turn right onto Myrtle Road, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Keep left, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Keep left, Distance: 79.8 meters, Time: 57.4 seconds
Name: Willow Road, Instruction: Turn left onto Willow Road, Distance: 219.2 meters, Time: 157.8 seconds
Name: Wattle Road, Instruction: Turn right onto Wattle Road, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Arrive at Wattle Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
