Name: Kaki Bukit Avenue 3, Instruction: Head east on Kaki Bukit Avenue 3, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 562.8 meters, Time: 405.2 seconds
Name: -, Instruction: Turn right, Distance: 219.3 meters, Time: 157.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn slight right, Distance: 292.5 meters, Time: 210.6 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 173.9 meters, Time: 125.2 seconds
Name: -, Instruction: Turn left, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
