Name: Avenue de Saint-Cloud, Instruction: Head south on Avenue de Saint-Cloud, Distance: 7.7 meters, Time: 5.5 seconds
Name: Avenue de l'Hippodrome, Instruction: Turn sharp left onto Avenue de l'Hippodrome, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 176.7 meters, Time: 127.2 seconds
Name: -, Instruction: Turn left, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Keep right, Distance: 220.9 meters, Time: 159.0 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: Allée Saint-Denis, Instruction: Turn sharp right onto Allée Saint-Denis, Distance: 14.8 meters, Time: 10.6 seconds
Name: Route de la Grande Cascade, Instruction: Turn right onto Route de la Grande Cascade, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn right, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
