Name: Bartil Close, Instruction: Head northwest on Bartil Close, Distance: 107.4 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 29.0 seconds
Name: -, Instruction: Continue straight, Distance: 305.4 meters, Time: 219.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 926.6 meters, Time: 667.2 seconds
Name: -, Instruction: Turn left, Distance: 137.7 meters, Time: 99.1 seconds
Name: Vimiera Road, Instruction: Turn right onto Vimiera Road, Distance: 4.9 meters, Time: 3.5 seconds
Name: Raymond Street, Instruction: Turn left onto Raymond Street, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
