Name: Snowdon Avenue, Instruction: Head west on Snowdon Avenue, Distance: 275.4 meters, Time: 198.3 seconds
Name: Ronan Avenue, Instruction: Turn left onto Ronan Avenue, Distance: 516.0 meters, Time: 371.5 seconds
Name: Wanless Avenue, Instruction: Turn right onto Wanless Avenue, Distance: 100.6 meters, Time: 72.4 seconds
Name: Ardrossan Place, Instruction: Turn left onto Ardrossan Place, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn right, Distance: 193.1 meters, Time: 139.0 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 155.6 meters, Time: 112.0 seconds
Name: Weybourne Crescent, Instruction: Turn left onto Weybourne Crescent, Distance: 410.2 meters, Time: 295.3 seconds
Name: Weybourne Crescent, Instruction: Keep right onto Weybourne Crescent, Distance: 82.5 meters, Time: 59.4 seconds
Name: Dawlish Avenue, Instruction: Turn left onto Dawlish Avenue, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
