Name: Nassau Street, Instruction: Head east on Nassau Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Augusta Avenue, Instruction: Turn left onto Augusta Avenue, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 198.4 meters, Time: 142.8 seconds
Name: -, Instruction: Turn right, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: Grimsby Dairy Lane, Instruction: Turn right onto Grimsby Dairy Lane, Distance: 4.5 meters, Time: 3.2 seconds
Name: Robert Street, Instruction: Turn left onto Robert Street, Distance: 158.6 meters, Time: 114.2 seconds
Name: Russell Street, Instruction: Turn right onto Russell Street, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 222.9 meters, Time: 160.5 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Turn right, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Keep left, Distance: 81.3 meters, Time: 58.5 seconds
Name: -, Instruction: Keep left, Distance: 285.0 meters, Time: 205.2 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 476.7 meters, Time: 343.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
