Name: Rue de Charenton, Instruction: Head southeast on Rue de Charenton, Distance: 187.3 meters, Time: 134.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 205.9 meters, Time: 148.3 seconds
Name: -, Instruction: Turn slight right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: Boulevard de Bercy, Instruction: Turn right onto Boulevard de Bercy, Distance: 17.8 meters, Time: 12.8 seconds
Name: Rue Coriolis, Instruction: Turn left onto Rue Coriolis, Distance: 157.7 meters, Time: 113.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 162.5 meters, Time: 117.0 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 123.4 meters, Time: 88.8 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: Rue de l'Ambroisie, Instruction: Turn right onto Rue de l'Ambroisie, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 184.5 meters, Time: 132.8 seconds
Name: -, Instruction: Turn left, Distance: 268.0 meters, Time: 193.0 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Turn left, Distance: 0.6 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Keep right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
