Name: Avenue de la Porte de Charenton, Instruction: Head northwest on Avenue de la Porte de Charenton, Distance: 40.0 meters, Time: 28.8 seconds
Name: Rue Ferdinand de Béhagle, Instruction: Turn right onto Rue Ferdinand de Béhagle, Distance: 108.1 meters, Time: 77.9 seconds
Name: Rue Ferdinand de Béhagle, Instruction: Turn slight right onto Rue Ferdinand de Béhagle, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.4 seconds
Name: -, Instruction: Keep left, Distance: 69.7 meters, Time: 50.2 seconds
Name: Rue des Meuniers, Instruction: Turn sharp left onto Rue des Meuniers, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 172.7 meters, Time: 124.3 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 130.3 meters, Time: 93.8 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rue Claude Decaen, Instruction: Turn left onto Rue Claude Decaen, Distance: 282.5 meters, Time: 203.4 seconds
Name: Rue Cannebière, Instruction: Turn right onto Rue Cannebière, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight right, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Keep right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
