Name: Passage de la Loi, Instruction: Head northwest on Passage de la Loi, Distance: 46.9 meters, Time: 33.8 seconds
Name: Mail Michel de Bourges, Instruction: Continue straight onto Mail Michel de Bourges, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 287.0 meters, Time: 206.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue des Orteaux, Instruction: Turn right onto Rue des Orteaux, Distance: 62.8 meters, Time: 45.2 seconds
Name: Rue des Orteaux, Instruction: Enter the roundabout and take the 2nd exit onto Rue des Orteaux, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
