Name: Yorkville Avenue, Instruction: Head east on Yorkville Avenue, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Keep left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 424.0 meters, Time: 305.3 seconds
Name: -, Instruction: Keep left, Distance: 1045.1 meters, Time: 752.4 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
