Name: Schneewittchenstraße, Instruction: Head west on Schneewittchenstraße, Distance: 78.5 meters, Time: 56.5 seconds
Name: Eulenspiegelstraße, Instruction: Turn sharp left onto Eulenspiegelstraße, Distance: 10.8 meters, Time: 7.7 seconds
Name: Rotkäppchenplatz, Instruction: Turn right onto Rotkäppchenplatz, Distance: 64.1 meters, Time: 46.2 seconds
Name: Rotkäppchenstraße, Instruction: Turn right onto Rotkäppchenstraße, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 178.8 meters, Time: 128.7 seconds
Name: Rathausplatz, Instruction: Turn right onto Rathausplatz, Distance: 150.9 meters, Time: 108.6 seconds
Name: Lindenallee, Instruction: Turn left onto Lindenallee, Distance: 141.0 meters, Time: 101.5 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Continue straight, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Keep left, Distance: 143.1 meters, Time: 103.0 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Continue straight, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: Bürgermeister-Schneider-Weg, Instruction: Turn left onto Bürgermeister-Schneider-Weg, Distance: 17.0 meters, Time: 12.2 seconds
Name: Bürgermeister-Schneider-Weg, Instruction: Continue straight onto Bürgermeister-Schneider-Weg, Distance: 240.0 meters, Time: 172.8 seconds
Name: Bürgermeister-Schneider-Weg, Instruction: Turn sharp right onto Bürgermeister-Schneider-Weg, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
