Name: Western Gateway, Instruction: Head west on Western Gateway, Distance: 304.6 meters, Time: 219.3 seconds
Name: -, Instruction: Turn slight right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 211.6 meters, Time: 152.3 seconds
Name: -, Instruction: Turn left, Distance: 212.3 meters, Time: 152.8 seconds
Name: -, Instruction: Turn slight left, Distance: 94.0 meters, Time: 67.7 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: Wesley Avenue, Instruction: Turn left onto Wesley Avenue, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: Holyrood Mews, Instruction: Turn slight right onto Holyrood Mews, Distance: 120.1 meters, Time: 86.4 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
