Name: Trevor Housley Avenue, Instruction: Head north on Trevor Housley Avenue, Distance: 370.9 meters, Time: 267.0 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 117.2 meters, Time: 84.4 seconds
Name: -, Instruction: Keep left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.0 meters, Time: 0.8 seconds
Name: -, Instruction: Keep right, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 193.0 meters, Time: 138.9 seconds
Name: -, Instruction: Turn right, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
