Name: Muffatstraße, Instruction: Head north on Muffatstraße, Distance: 135.8 meters, Time: 97.8 seconds
Name: Hertha-Feiler-Weg, Instruction: Turn right onto Hertha-Feiler-Weg, Distance: 182.3 meters, Time: 131.2 seconds
Name: Gabriel-von-Seidl-Straße, Instruction: Turn right onto Gabriel-von-Seidl-Straße, Distance: 253.1 meters, Time: 182.3 seconds
Name: Gabriel-von-Seidl-Straße, Instruction: Continue straight onto Gabriel-von-Seidl-Straße, Distance: 8.5 meters, Time: 6.1 seconds
Name: Bavariafilmplatz, Instruction: Keep left onto Bavariafilmplatz, Distance: 209.6 meters, Time: 150.9 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.3 seconds
Name: Hochleite, Instruction: Turn right onto Hochleite, Distance: 692.3 meters, Time: 498.5 seconds
Name: -, Instruction: Keep left, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
