Name: Dingle Road, Instruction: Head west on Dingle Road, Distance: 66.5 meters, Time: 47.9 seconds
Name: Church Road, Instruction: Turn left onto Church Road, Distance: 277.8 meters, Time: 200.0 seconds
Name: Station Road, Instruction: Turn right onto Station Road, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn slight right, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Continue straight, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Keep left, Distance: 17.0 meters, Time: 12.2 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 37.3 meters, Time: 26.8 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 267.5 meters, Time: 192.6 seconds
Name: -, Instruction: Turn right, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
