Name: Rue de l'Étoile, Instruction: Head southeast on Rue de l'Étoile, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 66.0 meters, Time: 47.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight right, Distance: 89.6 meters, Time: 64.5 seconds
Name: Rue Bayen, Instruction: Turn left onto Rue Bayen, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 194.6 meters, Time: 140.1 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 307.9 meters, Time: 221.7 seconds
Name: -, Instruction: Turn left, Distance: 132.8 meters, Time: 95.6 seconds
Name: Rue Guillaume Tell, Instruction: Turn right onto Rue Guillaume Tell, Distance: 158.9 meters, Time: 114.4 seconds
Name: Rue de Courcelles, Instruction: Turn slight left onto Rue de Courcelles, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
