Name: Rua Niltinho Tristeza, Instruction: Head south on Rua Niltinho Tristeza, Distance: 32.7 meters, Time: 23.5 seconds
Name: Rua Jorge Martins, Instruction: Turn right onto Rua Jorge Martins, Distance: 97.8 meters, Time: 70.4 seconds
Name: Rua Paranhos, Instruction: Turn left onto Rua Paranhos, Distance: 185.4 meters, Time: 133.5 seconds
Name: Rua João Rego, Instruction: Turn right onto Rua João Rego, Distance: 252.0 meters, Time: 181.5 seconds
Name: Rua Itacorá, Instruction: Turn right onto Rua Itacorá, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 234.3 meters, Time: 168.7 seconds
Name: -, Instruction: Keep right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Keep left, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Continue straight, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn slight right, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
