Name: Glenlea Road, Instruction: Head west on Glenlea Road, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Station Approach Path, Instruction: Turn left onto Station Approach Path, Distance: 8.0 meters, Time: 5.8 seconds
Name: Glenlea Path, Instruction: Keep left onto Glenlea Path, Distance: 209.1 meters, Time: 150.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 129.4 meters, Time: 93.2 seconds
Name: Everest Road, Instruction: Turn right onto Everest Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Sherard Road, Instruction: Turn left onto Sherard Road, Distance: 102.9 meters, Time: 74.1 seconds
Name: Prince John Road, Instruction: Keep right onto Prince John Road, Distance: 234.4 meters, Time: 168.8 seconds
Name: Keynsham Road, Instruction: Enter the roundabout and take the 2nd exit onto Keynsham Road, Distance: 314.7 meters, Time: 226.6 seconds
Name: Green Way, Instruction: Enter the roundabout and take the 2nd exit onto Green Way, Distance: 279.7 meters, Time: 201.4 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: Eltham Green, Instruction: Turn right onto Eltham Green, Distance: 147.3 meters, Time: 106.1 seconds
Name: Eltham Green Road, Instruction: Turn left onto Eltham Green Road, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 58.1 meters, Time: 41.9 seconds
Name: -, Instruction: Keep right, Distance: 548.8 meters, Time: 395.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
