Name: Jalan Kledek, Instruction: Head southeast on Jalan Kledek, Distance: 74.3 meters, Time: 53.5 seconds
Name: North Bridge Road, Instruction: Turn right onto North Bridge Road, Distance: 8.2 meters, Time: 5.9 seconds
Name: Kandahar Street, Instruction: Turn left onto Kandahar Street, Distance: 84.6 meters, Time: 60.9 seconds
Name: Muscat Street, Instruction: Turn right onto Muscat Street, Distance: 62.8 meters, Time: 45.2 seconds
Name: Bussorah Street, Instruction: Keep left onto Bussorah Street, Distance: 100.0 meters, Time: 72.0 seconds
Name: Baghdad Street, Instruction: Turn right onto Baghdad Street, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 124.5 meters, Time: 89.7 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn slight left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 645.9 meters, Time: 465.0 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 266.4 meters, Time: 191.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
