Name: Allée Raffet, Instruction: Head southeast on Allée Raffet, Distance: 63.5 meters, Time: 45.8 seconds
Name: Allée Principale, Instruction: Turn right onto Allée Principale, Distance: 77.2 meters, Time: 55.6 seconds
Name: Avenue du Boulevard, Instruction: Turn right onto Avenue du Boulevard, Distance: 150.1 meters, Time: 108.1 seconds
Name: -, Instruction: Turn slight left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 303.8 meters, Time: 218.7 seconds
Name: Place de Catalogne, Instruction: Turn right onto Place de Catalogne, Distance: 46.2 meters, Time: 33.2 seconds
Name: Place de Catalogne, Instruction: Turn slight left onto Place de Catalogne, Distance: 25.6 meters, Time: 18.4 seconds
Name: Rue du Château, Instruction: Turn right onto Rue du Château, Distance: 87.3 meters, Time: 62.8 seconds
Name: Place des Cinq Martyrs du Lycée Buffon, Instruction: Continue straight onto Place des Cinq Martyrs du Lycée Buffon, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Continue straight, Distance: 187.4 meters, Time: 134.9 seconds
Name: -, Instruction: Keep right, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight right, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 117.2 meters, Time: 84.4 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 196.1 meters, Time: 141.2 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: Place Henri-Queuille, Instruction: Turn slight left onto Place Henri-Queuille, Distance: 56.1 meters, Time: 40.4 seconds
Name: Boulevard Pasteur, Instruction: Continue straight onto Boulevard Pasteur, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 152.3 meters, Time: 109.7 seconds
Name: Place de Breteuil, Instruction: Turn left onto Place de Breteuil, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight right, Distance: 138.3 meters, Time: 99.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 209.0 meters, Time: 150.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
