Name: Murphy Street, Instruction: Head southwest on Murphy Street, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn left, Distance: 350.4 meters, Time: 252.3 seconds
Name: -, Instruction: Turn left, Distance: 109.3 meters, Time: 78.7 seconds
Name: Wyreema Avenue, Instruction: Turn right onto Wyreema Avenue, Distance: 8.8 meters, Time: 6.3 seconds
Name: McGirr Street, Instruction: Turn left onto McGirr Street, Distance: 269.4 meters, Time: 193.9 seconds
Name: -, Instruction: Turn right, Distance: 283.6 meters, Time: 204.2 seconds
Name: -, Instruction: Turn left, Distance: 188.1 meters, Time: 135.4 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 136.5 meters, Time: 98.2 seconds
Name: -, Instruction: Turn left, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 66.0 seconds
Name: Burley Road, Instruction: Turn right onto Burley Road, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Arrive at Burley Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
