Name: Matopo Road, Instruction: Head south on Matopo Road, Distance: 209.2 meters, Time: 150.6 seconds
Name: Poplar Avenue, Instruction: Turn sharp right onto Poplar Avenue, Distance: 115.3 meters, Time: 83.0 seconds
Name: Odin Drive, Instruction: Turn sharp right onto Odin Drive, Distance: 150.9 meters, Time: 108.7 seconds
Name: Odin Drive, Instruction: Turn sharp left onto Odin Drive, Distance: 195.4 meters, Time: 140.7 seconds
Name: Gunners Circle, Instruction: Turn right onto Gunners Circle, Distance: 680.6 meters, Time: 490.1 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 568.5 meters, Time: 409.3 seconds
Name: -, Instruction: Turn slight left, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: Hawkins Avenue, Instruction: Turn left onto Hawkins Avenue, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
