Name: Simei Street 1, Instruction: Head northeast on Simei Street 1, Distance: 109.2 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 122.0 meters, Time: 87.9 seconds
Name: -, Instruction: Turn left, Distance: 105.8 meters, Time: 76.2 seconds
Name: -, Instruction: Turn right, Distance: 593.6 meters, Time: 427.4 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 79.9 meters, Time: 57.5 seconds
Name: -, Instruction: Turn right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
