Name: Rue du Fret, Instruction: Head east on Rue du Fret, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Pierre Mauroy, Instruction: Turn right onto Rue Pierre Mauroy, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.5 seconds
Name: Place du Professeur Muhammad Yunus, Instruction: Turn right onto Place du Professeur Muhammad Yunus, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 418.7 meters, Time: 301.5 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 334.1 meters, Time: 240.6 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
