Name: Gul Crescent, Instruction: Head west on Gul Crescent, Distance: 357.0 meters, Time: 257.0 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Gul Lane, Instruction: Turn left onto Gul Lane, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 200.1 meters, Time: 144.1 seconds
Name: Pioneer Road, Instruction: Turn right onto Pioneer Road, Distance: 159.2 meters, Time: 114.6 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 97.3 meters, Time: 70.0 seconds
Name: -, Instruction: Turn right, Distance: 332.2 meters, Time: 239.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
