Name: Main Street, Instruction: Head south on Main Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Turn slight left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 229.9 meters, Time: 165.5 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 780.8 meters, Time: 562.2 seconds
Name: -, Instruction: Turn slight left, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn right, Distance: 88.6 meters, Time: 63.8 seconds
Name: Hiwi Crescent, Instruction: Turn left onto Hiwi Crescent, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 185.6 meters, Time: 133.6 seconds
Name: Holiday Road, Instruction: Continue straight onto Holiday Road, Distance: 14.1 meters, Time: 10.1 seconds
Name: Holiday Road, Instruction: Keep left onto Holiday Road, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Turn slight left, Distance: 187.4 meters, Time: 134.9 seconds
Name: -, Instruction: Turn left, Distance: 188.0 meters, Time: 135.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
