Name: Avenida Instituto Politécnico Nacional, Instruction: Head north on Avenida Instituto Politécnico Nacional, Distance: 231.2 meters, Time: 166.5 seconds
Name: Calle Poniente 116, Instruction: Turn right onto Calle Poniente 116, Distance: 358.8 meters, Time: 258.3 seconds
Name: Avenida Insurgentes Norte, Instruction: Turn left onto Avenida Insurgentes Norte, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Keep right, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Turn slight left, Distance: 16.4 meters, Time: 11.8 seconds
Name: Avenida Insurgentes Norte, Instruction: Turn slight right onto Avenida Insurgentes Norte, Distance: 129.7 meters, Time: 93.4 seconds
Name: -, Instruction: Turn right, Distance: 153.1 meters, Time: 110.3 seconds
Name: Avenida Insurgentes Norte, Instruction: Turn right onto Avenida Insurgentes Norte, Distance: 23.1 meters, Time: 16.6 seconds
Name: Calle Necaxa, Instruction: Turn sharp left onto Calle Necaxa, Distance: 429.6 meters, Time: 309.3 seconds
Name: Avenida Rómulo Escobar Zerman, Instruction: Turn left onto Avenida Rómulo Escobar Zerman, Distance: 64.4 meters, Time: 46.4 seconds
Name: -, Instruction: Arrive at Avenida Rómulo Escobar Zerman, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
