Name: Griffiths Road, Instruction: Head west on Griffiths Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 344.2 meters, Time: 247.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Turn right, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: The Path, Instruction: Turn right onto The Path, Distance: 127.4 meters, Time: 91.7 seconds
Name: The Path, Instruction: Keep right onto The Path, Distance: 4.7 meters, Time: 3.4 seconds
Name: Melbourne Road, Instruction: Turn left onto Melbourne Road, Distance: 264.1 meters, Time: 190.2 seconds
Name: -, Instruction: Turn left, Distance: 178.3 meters, Time: 128.4 seconds
Name: Dorset Road, B285, Instruction: Turn right onto Dorset Road, B285, Distance: 4.4 meters, Time: 3.2 seconds
Name: Sheridan Road, Instruction: Turn left onto Sheridan Road, Distance: 142.1 meters, Time: 102.3 seconds
Name: Church Lane, Instruction: Turn left onto Church Lane, Distance: 161.3 meters, Time: 116.1 seconds
Name: Church Lane, Instruction: Turn right onto Church Lane, Distance: 176.2 meters, Time: 126.8 seconds
Name: -, Instruction: Turn right, Distance: 101.8 meters, Time: 73.3 seconds
Name: Stratton Close, Instruction: Turn left onto Stratton Close, Distance: 7.2 meters, Time: 5.2 seconds
Name: Erridge Road, Instruction: Turn slight left onto Erridge Road, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
