Name: Boulevard du Montparnasse, Instruction: Head northwest on Boulevard du Montparnasse, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 131.8 meters, Time: 94.9 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 152.8 meters, Time: 110.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 162.1 meters, Time: 116.7 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 56.4 meters, Time: 40.6 seconds
Name: Impasse de la Gaîté, Instruction: Turn right onto Impasse de la Gaîté, Distance: 4.8 meters, Time: 3.4 seconds
Name: Rue de la Gaîté, Instruction: Turn left onto Rue de la Gaîté, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rue du Maine, Instruction: Turn right onto Rue du Maine, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.6 seconds
Name: Rue du Commandant René Mouchotte, Instruction: Keep left onto Rue du Commandant René Mouchotte, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: Terrasse Modigliani, Instruction: Turn left onto Terrasse Modigliani, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: Allée du Chef d'Escadron de Guillebon, Instruction: Continue straight onto Allée du Chef d'Escadron de Guillebon, Distance: 76.3 meters, Time: 54.9 seconds
Name: Allée de la 2e Division Blindée, Instruction: Turn left onto Allée de la 2e Division Blindée, Distance: 72.1 meters, Time: 51.9 seconds
Name: Place des Cinq Martyrs du Lycée Buffon, Instruction: Turn right onto Place des Cinq Martyrs du Lycée Buffon, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: Rue du Cotentin, Instruction: Turn left onto Rue du Cotentin, Distance: 24.4 meters, Time: 17.5 seconds
Name: Rue du Cotentin, Instruction: Continue straight onto Rue du Cotentin, Distance: 547.4 meters, Time: 394.1 seconds
Name: Rue Plumet, Instruction: Turn left onto Rue Plumet, Distance: 138.5 meters, Time: 99.7 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
