Name: Calypso Way, Instruction: Head west on Calypso Way, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 469.6 meters, Time: 338.1 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 121.2 meters, Time: 87.2 seconds
Name: SH-18 Cycleway, Instruction: Continue straight onto SH-18 Cycleway, Distance: 8.6 meters, Time: 6.2 seconds
Name: SH-18 Cycleway, Instruction: Keep right onto SH-18 Cycleway, Distance: 742.5 meters, Time: 534.6 seconds
Name: Paul Matthews Road, Instruction: Turn slight left onto Paul Matthews Road, Distance: 18.7 meters, Time: 13.5 seconds
Name: Saturn Place, Instruction: Turn left onto Saturn Place, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
