Name: Haidgraben, Instruction: Head east on Haidgraben, Distance: 115.7 meters, Time: 83.3 seconds
Name: Alte Landstraße, Instruction: Turn left onto Alte Landstraße, Distance: 29.0 meters, Time: 20.9 seconds
Name: Friedrich-Ebert-Straße, Instruction: Turn right onto Friedrich-Ebert-Straße, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Keep right, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Keep left, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Amalienweg, Instruction: Turn left onto Amalienweg, Distance: 26.3 meters, Time: 19.0 seconds
Name: Amalienweg, Instruction: Turn right onto Amalienweg, Distance: 13.0 meters, Time: 9.4 seconds
Name: Äußere Hauptstraße, Instruction: Turn right onto Äußere Hauptstraße, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Keep right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.7 seconds
Name: Floriansanger, Instruction: Turn left onto Floriansanger, Distance: 34.2 meters, Time: 24.6 seconds
Name: Bodenschneidstraße, Instruction: Turn right onto Bodenschneidstraße, Distance: 87.1 meters, Time: 62.7 seconds
Name: Wendelsteinstraße, Instruction: Turn left onto Wendelsteinstraße, Distance: 18.2 meters, Time: 13.1 seconds
Name: Mainstraße, Instruction: Turn right onto Mainstraße, Distance: 95.6 meters, Time: 68.8 seconds
Name: Mainstraße, Instruction: Turn right onto Mainstraße, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
